"","Week","Onion","Tomato","Potato","Cabbage","Lady's finger","Cauliflower","Brinjal"
"1",2020-02-20,2464.18758333333,959.490083333333,1454.35019166667,936.861116666667,3712.56741666667,1236.27181666667,1999.940475
"2",2020-02-27,2386.28366666667,853.339283333333,1467.58929166667,900.956341666667,3436.79366666667,1229.3631,1746.65083333333
"3",2020-03-05,2246.09125,870.921625,1491.96428333333,913.662691666667,3342.53975,1257.76884166667,1630.15475
"4",2020-03-12,2261.25008333333,878.815466666667,1554.16666666667,937.172616666667,3234.53583333333,1357.1865,1623.87691666667
"5",2020-03-19,2223.54827037037,1009.93451666667,1620.14044074074,973.3075,3271.72225,1408.51783333333,1605.17064166667
"6",2020-03-26,2447.03312314815,1362.777775,1923.76984166667,1125.42285625,3124.76308912037,1544.95634166667,1694.32158333333
"7",2020-04-02,2189.18418888889,1171.627975,1823.79966666667,956.01613125,3068.38788541667,1585.08068888889,1793.13888333333
"8",2020-04-09,2028.878975,1192.589275,1732.25795,892.746025,3075.10325,1653.72619166667,1807.4445
"9",2020-04-16,1647.1627,1221.10366979167,1758.28373333333,1184.42211979167,2768.57941666667,1519.30633055556,1645.82341666667
"10",2020-04-23,1528.91864166667,1214.506453125,1791.46825,1158.95386886574,2319.47462962963,1417.55557407407,1745.72420833333
